,open_USD,high_USD,low_USD,close_USD,volume
2020-10-11,11293.22,11445.0,11221.0,11369.02,29043
2020-10-10,11050.64,11491.0,11050.51,11293.22,43648
2020-10-09,10925.44,11104.64,10829.0,11050.64,48240
2020-10-08,10666.4,10950.0,10530.41,10925.57,51959
2020-10-07,10599.65,10681.87,10546.17,10666.39,32811
2020-10-06,10792.2,10800.0,10525.0,10599.66,48674
2020-10-05,10666.62,10798.0,10615.64,10792.21,34025
2020-10-04,10542.07,10696.87,10517.87,10666.63,23212
2020-10-03,10570.4,10603.56,10496.46,10542.06,22298
2020-10-02,10619.13,10664.64,10374.0,10570.4,50130
2020-10-01,10776.59,10920.0,10437.0,10619.13,60866
2020-09-30,10840.58,10849.34,10665.13,10776.59,39596
2020-09-29,10696.11,10867.54,10635.87,10840.48,41874
2020-09-28,10774.26,10950.0,10626.0,10696.12,50095
2020-09-27,10728.59,10799.0,10594.82,10774.25,30549
2020-09-26,10686.57,10820.94,10644.68,10728.6,28420
2020-09-25,10736.33,10760.53,10556.24,10686.67,48101
2020-09-24,10241.46,10795.24,10190.93,10736.32,57676
2020-09-23,10529.61,10537.15,10136.82,10241.46,51876
2020-09-22,10417.22,10572.71,10353.0,10529.61,43991
2020-09-21,10920.28,10988.86,10296.35,10417.22,70683
2020-09-20,11080.64,11080.64,10723.0,10920.28,39157
2020-09-19,10933.4,11179.79,10887.37,11080.65,38440
2020-09-18,10940.0,11038.03,10812.84,10933.39,47266
2020-09-17,10954.01,11045.46,10745.83,10939.99,55601
2020-09-16,10785.23,11093.0,10661.22,10954.01,64991
2020-09-15,10671.77,10930.04,10606.48,10785.31,61822
2020-09-14,10332.84,10750.0,10212.34,10671.77,67059
2020-09-13,10440.67,10580.11,10200.0,10332.83,43837
2020-09-12,10387.89,10477.97,10269.25,10440.92,35379
2020-09-11,10336.86,10397.6,10200.0,10387.89,43830
2020-09-10,10219.29,10483.35,10070.83,10336.87,58253
2020-09-09,10126.66,10343.0,9981.01,10219.2,49347
2020-09-08,10373.45,10438.0,9850.0,10126.65,73491
2020-09-07,10255.89,10410.75,9875.0,10373.44,62620
2020-09-06,10166.69,10347.14,9994.86,10256.2,56368
2020-09-05,10446.25,10565.68,9825.0,10166.69,90001
2020-09-04,10138.29,10627.05,9875.5,10446.25,92733
2020-09-03,11388.54,11462.6,9960.8,10140.85,121950
2020-09-02,11921.97,11954.57,11160.1,11388.54,87221
2020-09-01,11649.51,12050.85,11515.0,11921.97,78148
2020-08-31,11711.17,11800.77,11570.0,11649.51,55353
2020-08-30,11465.84,11719.0,11458.0,11711.16,43177
2020-08-29,11526.9,11580.02,11417.04,11465.84,32973
2020-08-28,11330.38,11542.65,11276.89,11526.91,45953
2020-08-27,11461.42,11592.2,11125.0,11330.38,63246
2020-08-26,11318.42,11539.32,11244.0,11461.43,53998
2020-08-25,11748.19,11767.85,11117.64,11318.42,69590
2020-08-24,11648.12,11824.9,11585.09,11748.2,46212
2020-08-23,11663.51,11718.07,11514.13,11648.13,37900
2020-08-22,11531.23,11686.0,11376.81,11662.96,43678
2020-08-21,11853.54,11878.0,11485.81,11531.34,64448
2020-08-20,11754.38,11888.0,11668.0,11853.55,46085
2020-08-19,11945.1,12020.08,11561.0,11754.59,73940
2020-08-18,12281.15,12387.77,11817.93,11945.01,75923
2020-08-17,11910.99,12468.0,11769.78,12281.13,84734
2020-08-16,11852.4,11931.72,11686.0,11911.0,41368
2020-08-15,11760.55,11980.0,11680.0,11852.4,56237
2020-08-14,11779.77,11850.0,11634.03,11760.54,59818
2020-08-13,11564.34,11792.96,11270.36,11780.0,70132
2020-08-12,11392.09,11617.52,11150.0,11564.33,64909
2020-08-11,11892.9,11935.0,11125.0,11392.08,90748
2020-08-10,11681.69,12067.35,11450.0,11892.92,84952
2020-08-09,11761.02,11797.11,11521.97,11681.68,41493
2020-08-08,11594.36,11808.27,11512.0,11761.41,41858
2020-08-07,11762.47,11909.94,11322.0,11594.23,65755
2020-08-06,11744.91,11900.0,11562.5,11762.46,63529
2020-08-05,11191.99,11780.93,11093.0,11744.91,74970
2020-08-04,11219.68,11414.98,11000.0,11191.97,58629
2020-08-03,11071.36,11473.0,10936.0,11219.81,56931
2020-08-02,11801.17,12123.46,10518.5,11071.35,97553
2020-08-01,11335.46,11861.0,11220.0,11801.17,85087
2020-07-31,11099.79,11444.0,10960.0,11335.46,70063
2020-07-30,11100.52,11170.0,10831.0,11099.61,60794
2020-07-29,10906.27,11342.82,10812.0,11100.53,76838
2020-07-28,11029.96,11242.23,10565.0,10906.27,97267
2020-07-27,9931.54,11394.86,9917.21,11029.96,150188
2020-07-26,9700.42,10111.0,9650.0,9931.54,65279
2020-07-25,9538.1,9732.9,9513.0,9700.42,40679
2020-07-24,9603.27,9637.0,9463.44,9537.8,43931
2020-07-23,9518.16,9664.0,9440.33,9603.27,51856
2020-07-22,9390.0,9544.0,9261.0,9518.16,48815
2020-07-21,9160.78,9437.73,9152.8,9390.0,60413
