Valor,Fecha
30530,2017-01-12T23:00:00Z
27960.833333333332,2017-01-13T00:00:00Z
25896.5,2017-01-13T01:00:00Z
24431,2017-01-13T02:00:00Z
23783,2017-01-13T03:00:00Z
23708.166666666668,2017-01-13T04:00:00Z
24312,2017-01-13T05:00:00Z
26693.333333333332,2017-01-13T06:00:00Z
31435.333333333332,2017-01-13T07:00:00Z
34593.166666666664,2017-01-13T08:00:00Z
35345.5,2017-01-13T09:00:00Z
36036.666666666664,2017-01-13T10:00:00Z
35974,2017-01-13T11:00:00Z
35567.666666666664,2017-01-13T12:00:00Z
35461,2017-01-13T13:00:00Z
34293,2017-01-13T14:00:00Z
33630.666666666664,2017-01-13T15:00:00Z
33352.5,2017-01-13T16:00:00Z
33635.833333333336,2017-01-13T17:00:00Z
35445,2017-01-13T18:00:00Z
36756,2017-01-13T19:00:00Z
36695.5,2017-01-13T20:00:00Z
36220.5,2017-01-13T21:00:00Z
33988.666666666664,2017-01-13T22:00:00Z
31253.833333333332,2017-01-13T23:00:00Z
28956.833333333332,2017-01-14T00:00:00Z
26776.833333333332,2017-01-14T01:00:00Z
25102.166666666668,2017-01-14T02:00:00Z
24262.666666666668,2017-01-14T03:00:00Z
23905.833333333332,2017-01-14T04:00:00Z
23885.333333333332,2017-01-14T05:00:00Z
24218.166666666668,2017-01-14T06:00:00Z
25785.5,2017-01-14T07:00:00Z
27452.166666666668,2017-01-14T08:00:00Z
30016.333333333332,2017-01-14T09:00:00Z
32404.666666666668,2017-01-14T10:00:00Z
32876.666666666664,2017-01-14T11:00:00Z
32272.666666666668,2017-01-14T12:00:00Z
32140,2017-01-14T13:00:00Z
31659.666666666668,2017-01-14T14:00:00Z
30407.666666666668,2017-01-14T15:00:00Z
29590.666666666668,2017-01-14T16:00:00Z
29538,2017-01-14T17:00:00Z
31606.166666666668,2017-01-14T18:00:00Z
33485,2017-01-14T19:00:00Z
33956.833333333336,2017-01-14T20:00:00Z
34072.166666666664,2017-01-14T21:00:00Z
32584,2017-01-14T22:00:00Z
30266.166666666668,2017-01-14T23:00:00Z
